forecast_date,forecast_occupied_beds,forecast_occupancy_pct
2024-12-31,261.5229797363281,52.30459594726562
2025-01-01,259.3366394042969,51.86732788085937
2025-01-02,258.27435302734375,51.65487060546875
2025-01-03,259.71392822265625,51.942785644531256
2025-01-04,259.757080078125,51.95141601562499
2025-01-05,259.1748046875,51.8349609375
2025-01-06,259.7170715332031,51.94341430664062
2025-01-07,259.3511047363281,51.87022094726562
2025-01-08,259.1748046875,51.8349609375
2025-01-09,259.1748046875,51.8349609375
2025-01-10,259.1748046875,51.8349609375
2025-01-11,259.1748046875,51.8349609375
2025-01-12,259.1748046875,51.8349609375
2025-01-13,259.540771484375,51.908154296875
2025-01-14,259.1748046875,51.8349609375
2025-01-15,259.1748046875,51.8349609375
2025-01-16,259.1748046875,51.8349609375
2025-01-17,259.1748046875,51.8349609375
2025-01-18,259.1748046875,51.8349609375
2025-01-19,259.1748046875,51.8349609375
2025-01-20,259.540771484375,51.908154296875
2025-01-21,259.1748046875,51.8349609375
2025-01-22,259.1748046875,51.8349609375
2025-01-23,259.1748046875,51.8349609375
2025-01-24,259.1748046875,51.8349609375
2025-01-25,259.1748046875,51.8349609375
2025-01-26,259.1748046875,51.8349609375
2025-01-27,259.540771484375,51.908154296875
2025-01-28,259.1748046875,51.8349609375
2025-01-29,259.1748046875,51.8349609375
2025-01-30,259.1748046875,51.8349609375
2025-01-31,259.1748046875,51.8349609375
2025-02-01,259.1748046875,51.8349609375
2025-02-02,259.1748046875,51.8349609375
2025-02-03,259.540771484375,51.908154296875
2025-02-04,259.1748046875,51.8349609375
2025-02-05,259.1748046875,51.8349609375
2025-02-06,259.1748046875,51.8349609375
2025-02-07,259.1748046875,51.8349609375
2025-02-08,259.1748046875,51.8349609375
2025-02-09,259.1748046875,51.8349609375
2025-02-10,259.540771484375,51.908154296875
2025-02-11,259.1748046875,51.8349609375
2025-02-12,259.1748046875,51.8349609375
2025-02-13,259.1748046875,51.8349609375
2025-02-14,259.1748046875,51.8349609375
2025-02-15,259.1748046875,51.8349609375
2025-02-16,259.1748046875,51.8349609375
2025-02-17,259.540771484375,51.908154296875
2025-02-18,259.1748046875,51.8349609375
2025-02-19,259.1748046875,51.8349609375
2025-02-20,259.1748046875,51.8349609375
2025-02-21,259.1748046875,51.8349609375
2025-02-22,259.1748046875,51.8349609375
2025-02-23,259.1748046875,51.8349609375
2025-02-24,259.540771484375,51.908154296875
2025-02-25,259.1748046875,51.8349609375
2025-02-26,259.1748046875,51.8349609375
2025-02-27,259.1748046875,51.8349609375
2025-02-28,259.1748046875,51.8349609375
2025-03-01,259.1748046875,51.8349609375
2025-03-02,259.1748046875,51.8349609375
2025-03-03,259.540771484375,51.908154296875
2025-03-04,259.1748046875,51.8349609375
2025-03-05,259.1748046875,51.8349609375
2025-03-06,259.1748046875,51.8349609375
2025-03-07,259.1748046875,51.8349609375
2025-03-08,259.1748046875,51.8349609375
2025-03-09,259.1748046875,51.8349609375
2025-03-10,259.540771484375,51.908154296875
2025-03-11,259.1748046875,51.8349609375
2025-03-12,259.1748046875,51.8349609375
2025-03-13,259.1748046875,51.8349609375
2025-03-14,259.1748046875,51.8349609375
2025-03-15,259.1748046875,51.8349609375
2025-03-16,259.1748046875,51.8349609375
2025-03-17,259.540771484375,51.908154296875
2025-03-18,259.1748046875,51.8349609375
2025-03-19,259.1748046875,51.8349609375
2025-03-20,259.1748046875,51.8349609375
2025-03-21,259.1748046875,51.8349609375
2025-03-22,259.1748046875,51.8349609375
2025-03-23,259.1748046875,51.8349609375
2025-03-24,259.540771484375,51.908154296875
2025-03-25,259.1748046875,51.8349609375
2025-03-26,259.1748046875,51.8349609375
2025-03-27,259.1748046875,51.8349609375
2025-03-28,259.1748046875,51.8349609375
2025-03-29,259.1748046875,51.8349609375
2025-03-30,259.1748046875,51.8349609375
