model,accuracy,precision,recall,f1,roc_auc,confusion_matrix,split_strategy,train_rows,test_rows,train_patients,test_patients,patient_overlap,target_origin
logistic,0.6779490616621984,0.22375690607734808,0.6731301939058172,0.33586731167933653,0.7358779093529115,"[[3560, 1686], [236, 486]]",GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,observed
catboost,0.8803619302949062,0.5689655172413793,0.045706371191135735,0.08461538461538462,0.7353699375754434,"[[5221, 25], [689, 33]]",GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,observed
voting_classifier,0.8419906166219839,0.3450210378681627,0.3407202216066482,0.34285714285714286,0.7353255824514233,"[[4779, 467], [476, 246]]",GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,observed
xgboost,0.8800268096514745,0.55,0.045706371191135735,0.08439897698209718,0.735323998339851,"[[5219, 27], [689, 33]]",GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,observed
lightgbm,0.8790214477211796,0.5,0.0443213296398892,0.08142493638676845,0.7278187417296175,"[[5214, 32], [690, 32]]",GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,observed
random_forest,0.7880361930294906,0.27800490596892885,0.4709141274238227,0.3496143958868895,0.723409103149953,"[[4363, 883], [382, 340]]",GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,observed
