model,RMSE,MAE,MAPE,R2,split_strategy,train_rows,test_rows,train_patients,test_patients,patient_overlap,target_origin
random_forest,0.07390335178493619,0.006212240134428634,9.571384461677962e-05,0.9999327522224882,GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,simulated_formula
lightgbm,0.10007382445390138,0.06409334588126676,0.0012741957424620936,0.9998766921688803,GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,simulated_formula
catboost,0.1046929677536356,0.07503222448623417,0.0015387222649789181,0.9998650463340347,GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,simulated_formula
gradient_boosting,0.17269065290859387,0.12702233932982718,0.0026336310883956666,0.9996328129741859,GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,simulated_formula
xgboost,0.2619870055856809,0.18759102604024852,0.0038572463013356543,0.9991548979277479,GroupShuffleSplit(patient_id),24032,5968,20353,5089,0,simulated_formula
