forecast_date,forecast_emergency_patients,method,provenance
2024-12-31,19.125,eight_week_weekday_seasonal_baseline,forecast_from_observed_daily_emergency_admissions
2025-01-01,18.0,eight_week_weekday_seasonal_baseline,forecast_from_observed_daily_emergency_admissions
2025-01-02,19.75,eight_week_weekday_seasonal_baseline,forecast_from_observed_daily_emergency_admissions
2025-01-03,19.75,eight_week_weekday_seasonal_baseline,forecast_from_observed_daily_emergency_admissions
2025-01-04,17.25,eight_week_weekday_seasonal_baseline,forecast_from_observed_daily_emergency_admissions
2025-01-05,17.0,eight_week_weekday_seasonal_baseline,forecast_from_observed_daily_emergency_admissions
2025-01-06,15.875,eight_week_weekday_seasonal_baseline,forecast_from_observed_daily_emergency_admissions
